Title,CiteScore
Aquatic Botany,1.94
Fisheries Research,1.94
Journal of Endourology,1.94
Journal of Interpersonal Violence,1.94
Urologic Clinics of North America,1.94
Journal of Thermal Stresses,1.94
Journal of Phonetics,1.94
Learning Disability Quarterly,1.94
Journal of Geology,1.94
Journal of Molecular Structure,1.94
Journal of Differential Equations,1.94
SIAM Journal on Control and Optimization,1.94
Stress and Health,1.94
Upsala Journal of Medical Sciences,1.94
Biological Bulletin,1.94
Clinical Neuropsychologist,1.94
Rehabilitation Psychology,1.94
Journal of Youth Studies,1.94
Complementary Therapies in Clinical Practice,1.94
Written Communication,1.94
Current Sociology,1.94
Annals of Gastroenterology,1.94
Science China Life Sciences,1.94
Journal of Information Display,1.94
Journal of Herbal Medicine,1.94
International Journal of Vehicular Technology,1.94
"Global health, science and practice",1.94
Annals of palliative medicine,1.94
Structural Monitoring and Maintenance,1.94
Frontiers in Veterinary Science,1.94
Journal of Fluorine Chemistry,1.93
Health Care Management Science,1.93
Journal of Nanoparticle Research,1.93
Journal of Cellular Plastics,1.93
Journal of Theoretical Biology,1.93
Disasters,1.93
Bioelectromagnetics,1.93
Journal of Electromyography and Kinesiology,1.93
Journal of Medical Virology,1.93
Archives of Animal Nutrition,1.93
International Journal of Tuberculosis and Lung Disease,1.93
Cost Effectiveness and Resource Allocation,1.93
Journal of Food Science and Technology,1.93
Structural Engineering and Mechanics,1.93
International Joural of Remote Sensing,1.93
Philosophy and Public Affairs,1.93
Heart and Vessels,1.93
BMC Physiology,1.93
Journal of Scientific Computing,1.93
Annals of Applied Probability,1.93
Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology,1.93
Biological Cybernetics,1.93
ASAIO Journal,1.93
IEEE Power and Energy Magazine,1.93
Journal of Psychopathology and Behavioral Assessment,1.93
International Journal of Mental Health Nursing,1.93
"Journal of Vibration and Acoustics, Transactions of the ASME",1.93
CardioVascular and Interventional Radiology,1.93
Teachers and Teaching: Theory and Practice,1.93
Advances in Medical Sciences,1.93
Brazilian Journal of Physical Therapy,1.93
SAE International Journal of Fuels and Lubricants,1.93
Enzymes,1.93
Risk Management and Healthcare Policy,1.93
"Clinical, Cosmetic and Investigational Dentistry",1.93
Iranian Endodontic Journal,1.93
Agriculture (Switzerland),1.93
Australian and New Zealand Journal of Psychiatry,1.92
International Journal of Behavioral Medicine,1.92
Iranian Biomedical Journal,1.92
British Journal of Radiology,1.92
Journal of Child and Adolescent Psychopharmacology,1.92
Journal of Nervous and Mental Disease,1.92
Plasmid,1.92
Polar Biology,1.92
Language in Society,1.92
Geochemical Transactions,1.92
Science Communication,1.92
Journal of Plant Research,1.92
Behavioral Medicine,1.92
Journal of Organometallic Chemistry,1.92
Acta Obstetricia et Gynecologica Scandinavica,1.92
Journal of Mass Spectrometry,1.92
Medical Anthropology Quarterly,1.92
Journal of Biochemical and Molecular Toxicology,1.92
Micron,1.92
Plant Ecology,1.92
Emerging Themes in Epidemiology,1.92
BMC Medical Imaging,1.92
Algorithms for Molecular Biology,1.92
Biomarkers in Medicine,1.92
European Journal of Physical and Rehabilitation Medicine,1.92
Hepatitis Monthly,1.92
Biointerphases,1.92
Dermatology Research and Practice,1.92
PLoS Currents,1.92
Journal of Ophthalmology,1.92
Carbon Management,1.92
International Journal of Image and Data Fusion,1.92
Journal of Skin Cancer,1.92
Journal of Experimental Pharmacology,1.92
COPD Research and Practice,1.92
Endocrine Development,1.91
Inverse Problems,1.91
Journal of Turbulence,1.91
Leisure Sciences,1.91
Journal of Hydrology and Hydromechanics,1.91
Developmental Medicine and Child Neurology,1.91
Journal of Artificial Societies and Social Simulation,1.91
Acta Neuropsychiatrica,1.91
Mechanics Research Communications,1.91
Journal of Molecular Evolution,1.91
AIDS Education and Prevention,1.91
Antiviral Therapy,1.91
Fish Physiology and Biochemistry,1.91
International Journal of Sustainable Development and World Ecology,1.91
World Journal of Surgical Oncology,1.91
Social Politics,1.91
Cell Biology International,1.91
"Journal of Health, Population and Nutrition",1.91
"Numerical Heat Transfer, Part B: Fundamentals",1.91
Biopolymers,1.91
Probability Theory and Related Fields,1.91
Research in Sports Medicine,1.91
"Annals of Allergy, Asthma and Immunology",1.91
Development Growth and Differentiation,1.91
Thin Solid Films,1.91
Heart Failure Clinics,1.91
High Energy Density Physics,1.91
ACM Journal on Emerging Technologies in Computing Systems,1.91
Animal,1.91
Journal of Digestive Diseases,1.91
International Journal of Agricultural Sustainability,1.91
Language Teaching,1.91
Gastroenterology Research and Practice,1.91
Asian Pacific Journal of Tropical Medicine,1.91
Clinical Research in Cardiology Supplements,1.91
Cognitive Neuroscience,1.91
Toxicology Research,1.91
Frontiers of Physics,1.91
CIS Iron and Steel Review,1.91
Blood Purification,1.9
American Journal of Enology and Viticulture,1.9
Maternal and Child Health Journal,1.9
New Left Review,1.9
Burns,1.9
Evolutionary Anthropology,1.9
Rheologica Acta,1.9
"Engineering, Construction and Architectural Management",1.9
Pediatric Clinics of North America,1.9
Review of Research in Education,1.9
IEEE Internet Computing,1.9
IEEE Transactions on Engineering Management,1.9
Histology and Histopathology,1.9
Water International,1.9
Psychosomatics,1.9
Journal of Political Ideologies,1.9
Experimental and Applied Acarology,1.9
BMC Oral Health,1.9
"Water, Air, and Soil Pollution",1.9
Journal of Clinical and Experimental Neuropsychology,1.9
Journal of Asthma,1.9
Surgery Today,1.9
International Journal of High Performance Computing Applications,1.9
European Food Research and Technology,1.9
Applied Physics B: Lasers and Optics,1.9
Journal of Primary Prevention,1.9
Journal of Drug Delivery Science and Technology,1.9
Development Genes and Evolution,1.9
"Medicina Oral, Patologia Oral y Cirugia Bucal",1.9
Journal of Surgical Education,1.9
IET Image Processing,1.9
Research in Autism Spectrum Disorders,1.9
"Signal, Image and Video Processing",1.9
Marine Genomics,1.9
Journal of Dietary Supplements,1.9
Molecular and Cellular Pharmacology,1.9
Practical Radiation Oncology,1.9
Journal of Arid Land,1.9
International Journal of Spine Surgery,1.9
East European Politics,1.9
Propulsion and Power Research,1.9
Applied Sciences (Switzerland),1.9
Chemoecology,1.89
World Wide Web,1.89
International Journal of Computer Integrated Manufacturing,1.89
Socio-Economic Planning Sciences,1.89
Transplant Infectious Disease,1.89
Cretaceous Research,1.89
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,1.89
Computers and Mathematics with Applications,1.89
Materials Science and Technology,1.89
Neuropsychobiology,1.89
Veterinary Research Communications,1.89
Physics and Chemistry of the Earth,1.89
Applied Cognitive Psychology,1.89
Spinal Cord,1.89
Journal of Cataract and Refractive Surgery,1.89
BJOG: An International Journal of Obstetrics and Gynaecology,1.89
Clinical Cases in Mineral and Bone Metabolism,1.89
Journal of Zhejiang University: Science B,1.89
Women and Birth,1.89
Self and Identity,1.89
Chinese Medicine,1.89
International Journal of Computational Intelligence Systems,1.89
Science China Information Sciences,1.89
Sexual Medicine Reviews,1.89
Preventive Medicine Reports,1.89
Information Processing in Agriculture,1.89
Social Currents,1.89
Metabolic Syndrome and Related Disorders,1.88
Learning and Individual Differences,1.88
Fuel Cells,1.88
Experimental Astronomy,1.88
Mathematics and Mechanics of Solids,1.88
Anticancer Research,1.88
Journal of Risk and Uncertainty,1.88
International Journal of Polymeric Materials and Polymeric Biomaterials,1.88
Midwifery,1.88
Psychology of Men and Masculinity,1.88
"Brain, Behavior and Evolution",1.88
American Journal of Speech-Language Pathology,1.88
Dentomaxillofacial Radiology,1.88
Journal of Vascular and Interventional Radiology,1.88
Poetics,1.88
Avian Pathology,1.88
NeuroRehabilitation,1.88
International Journal of Immunopathology and Pharmacology,1.88
Immunogenetics,1.88
Growth Factors,1.88
Politics and Society,1.88
International Economic Review,1.88
International Journal of Communication Systems,1.88
Pharmaceutical Biology,1.88
Disability and Rehabilitation,1.88
Journal of Clinical Pharmacy and Therapeutics,1.88
Epidemiology and Infection,1.88
European Journal of Oral Sciences,1.88
"Child: Care, Health and Development",1.88
Biotechnology Letters,1.88
Trees - Structure and Function,1.88
Gaodianya Jishu/High Voltage Engineering,1.88
Information Systems and e-Business Management,1.88
Chronic Respiratory Disease,1.88
Brazilian Journal of Pharmacognosy,1.88
Journal of Cell Communication and Signaling,1.88
Energy Efficiency,1.88
Myrmecological News,1.88
Journal of Biomedical Research,1.88
BioSocieties,1.88
International Journal of Communication Networks and Information Security,1.88
International Journal of Surgical Oncology,1.88
International Journal of Evidence-Based Healthcare,1.88
Journal of Developmental Origins of Health and Disease,1.88
Economics of Transportation,1.88
Algae,1.88
Case Studies in Construction Materials,1.88
Journal of the Pediatric Infectious Diseases Society,1.88
Canadian Journal of Kidney Health and Disease,1.88
IEEE Multimedia,1.87
Synlett,1.87
Microelectronic Engineering,1.87
Population Studies,1.87
Personnel Review,1.87
Journal of Global Optimization,1.87
Optical Fiber Technology,1.87
Packaging Technology and Science,1.87
International Journal of Water Resources Development,1.87
British Journal of Industrial Relations,1.87
International Journal of Human-Computer Interaction,1.87
Human Immunology,1.87
Expert Review of Anticancer Therapy,1.87
Neurosurgery Clinics of North America,1.87
Columbia Law Review,1.87
Bioacoustics,1.87
Thoracic Surgery Clinics,1.87
Veterinary Journal,1.87
Computer,1.87
Journal of Applied Polymer Science,1.87
SIAM Journal on Applied Mathematics,1.87
Cancer Journal,1.87
Parasitology International,1.87
Antonie van Leeuwenhoek,1.87
"Journal of Waterway, Port, Coastal and Ocean Engineering",1.87
Aerobiologia,1.87
Surface Science,1.87
Otology and Neurotology,1.87
Technical Digest - International Electron Devices Meeting,1.87
Journal of Deaf Studies and Deaf Education,1.87
Informatics in Education,1.87
Journal of Marketing Theory and Practice,1.87
International Journal of Construction Management,1.87
Pharmacognosy Magazine,1.87
"Clinical Lymphoma, Myeloma and Leukemia",1.87
International Journal of Endocrinology and Metabolism,1.87
Surveillance & Society,1.87
International Journal of the Commons,1.87
Metals,1.87
Friction,1.87
American Journal of Drug and Alcohol Abuse,1.86
Colorectal Disease,1.86
Journal of Hydrodynamics,1.86
Development and Change,1.86
Optics Communications,1.86
Information Society,1.86
International Journal of Intercultural Relations,1.86
Materiales de Construccion,1.86
Fisheries Oceanography,1.86
Environmental Monitoring and Assessment,1.86
Decision Sciences,1.86
Journal of Economic Psychology,1.86
AI Magazine,1.86
Genetic Programming and Evolvable Machines,1.86
Soils and Foundations,1.86
Strahlentherapie und Onkologie,1.86
Birth Defects Research Part A - Clinical and Molecular Teratology,1.86
"Physics Letters, Section A: General, Atomic and Solid State Physics",1.86
Journal of the Royal Statistical Society. Series C: Applied Statistics,1.86
Invertebrate Systematics,1.86
Geopolitics,1.86
Journal of Civil Engineering and Management,1.86
"American Journal of Medical Genetics, Part A",1.86
Journal of International Financial Management and Accounting,1.86
IET Information Security,1.86
Journal of Medical Toxicology,1.86
Disability and Health Journal,1.86
Journal of Nutrigenetics and Nutrigenomics,1.86
Journal of Diversity in Higher Education,1.86
Molecular Informatics,1.86
Asian Pacific Journal of Tropical Biomedicine,1.86
Bioanalysis,1.86
Clinics and Research in Hepatology and Gastroenterology,1.86
ACM Transactions on Reconfigurable Technology and Systems,1.86
International Journal of Integrated Care,1.86
Human gene therapy. Clinical development,1.86
Journal of Sport and Health Science,1.86
Life Sciences in Space Research,1.86
Materials Today Communications,1.86
Plant Gene,1.86
Journal of Mechanical Engineering and Sciences,1.86
Interdisciplinary topics in gerontology and geriatrics,1.86
Behaviour and Information Technology,1.85
Animal Reproduction Science,1.85
International Journal of Psychology,1.85
Multidimensional Systems and Signal Processing,1.85
Phycologia,1.85
Journal of Bridge Engineering,1.85
Applied Psycholinguistics,1.85
Software Testing Verification and Reliability,1.85
Topics in Stroke Rehabilitation,1.85
Journal of Nondestructive Evaluation,1.85
Experimental Parasitology,1.85
Rapid Communications in Mass Spectrometry,1.85
Mendeleev Communications,1.85
Lung,1.85
Transcultural Psychiatry,1.85
Digestive Surgery,1.85
Journal of Microscopy,1.85
Sexually Transmitted Infections,1.85
Grass and Forage Science,1.85
International Journal of Industrial Ergonomics,1.85
Acta Oecologica,1.85
Human Ecology,1.85
Language Testing,1.85
Croatian Journal of Forest Engineering,1.85
English World-Wide,1.85
European Physical Education Review,1.85
Journal of Physical Activity and Health,1.85
European Accounting Review,1.85
Structure and Infrastructure Engineering,1.85
Green Chemistry Letters and Reviews,1.85
Hystrix,1.85
Nature Reviews Urology,1.85
Transactions on Data Privacy,1.85
Geomechanics and Engineering,1.85
International Journal of Communication,1.85
International Journal of Industrial Engineering Computations,1.85
Insects,1.85
Journal of Research in Gender Studies,1.85
Journal of Electromagnetic Engineering and Science,1.85
Journal of Ocean Engineering and Marine Energy,1.85
Nonlinearity,1.84
Geological Magazine,1.84
Applied Optics,1.84
Journal of Anthropological Archaeology,1.84
Rhinology,1.84
Formal Methods in System Design,1.84
Photosynthetica,1.84
Acta Sociologica,1.84
Wave Motion,1.84
Strain,1.84
British Journal for the Philosophy of Science,1.84
Journal of Porous Materials,1.84
Radiology and Oncology,1.84
Drug Development and Industrial Pharmacy,1.84
Health Education and Behavior,1.84
Catheterization and Cardiovascular Interventions,1.84
Land Economics,1.84
IEEE International Conference on Intelligent Robots and Systems,1.84
Ursus,1.84
Research in Social Stratification and Mobility,1.84
Mycological Progress,1.84
Comparative European Politics,1.84
IET Intelligent Transport Systems,1.84
International Transactions in Operational Research,1.84
Journal of Oncology Practice,1.84
International Journal of Logistics Research and Applications,1.84
Transactions on Architecture and Code Optimization,1.84
Journal of Anthropological Sciences,1.84
Journal of Plant Ecology,1.84
International Journal of Mobile Learning and Organisation,1.84
Journal of Social Marketing,1.84
Diabetic Foot and Ankle,1.84
Journal of Arthropod-Borne Diseases,1.84
Artificial Organs,1.83
Geo Journal,1.83
Moravian Geographical Reports,1.83
Crop Science,1.83
Rheumatology International,1.83
European Economic Review,1.83
Journal of Heat Transfer,1.83
Journal of Differential Geometry,1.83
Anthrozoos,1.83
Medical Education,1.83
Mechanisms of Development,1.83
MIT Sloan Management Review,1.83
International Journal of Audiology,1.83
American Journal of Health Behavior,1.83
Journal of Applied Geophysics,1.83
Clays and Clay Minerals,1.83
Mathematics of Computation,1.83
Electronic Commerce Research,1.83
Zebrafish,1.83
Medicine and Sport Science,1.83
Journal of Pharmaceutical Innovation,1.83
Current Protocols in Human Genetics,1.83
Journalism,1.83
Journalism Studies,1.83
Ingegneria Sismica,1.83
Biomedical Journal,1.83
Experimental Neurobiology,1.83
Annals of Agricultural Sciences,1.83
Science and Engineering of Composite Materials,1.82
Calculus of Variations and Partial Differential Equations,1.82
Mind and Language,1.82
Journal of Fish Diseases,1.82
Journal of Social and Clinical Psychology,1.82
HPB Surgery,1.82
Journal of Glaucoma,1.82
Technometrics,1.82
Evolution and Development,1.82
Technology Analysis and Strategic Management,1.82
Biometrika,1.82
Journal of Infrastructure Systems,1.82
IEEE Transactions on Magnetics,1.82
Bryologist,1.82
Research in Veterinary Science,1.82
Sleep and Breathing,1.82
Journal of Virological Methods,1.82
Journal of Behavioral Decision Making,1.82
English for Specific Purposes,1.82
Hernia : the journal of hernias and abdominal wall surgery,1.82
Wildlife Biology,1.82
Social Policy and Administration,1.82
Journal of Investigative Medicine,1.82
Journal of Urban Affairs,1.82
Annals of Hematology,1.82
"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",1.82
Operating Systems Review (ACM),1.82
Proceedings of the International Conference on Supercomputing,1.82
Journal of Business Finance and Accounting,1.82
International Wound Journal,1.82
"Palaeontographica, Abteilung A: Palaozoologie - Stratigraphie",1.82
Reproductive Biology,1.82
Journal of the Canadian Academy of Child and Adolescent Psychiatry,1.82
China Information,1.82
Veterinary and Comparative Oncology,1.82
Orthopaedics and Traumatology: Surgery and Research,1.82
Journal on Multimodal User Interfaces,1.82
Advances in Hematology,1.82
Urolithiasis,1.82
ECS Journal of Solid State Science and Technology,1.82
Journal of Drug Delivery,1.82
Transactions on Emerging Telecommunications Technologies,1.82
Review Journal of Autism and Developmental Disorders,1.82
Skin therapy letter,1.81
International Journal of Social Research Methodology: Theory and Practice,1.81
Biomarkers,1.81
European Journal of Cancer Care,1.81
Journal of Positive Behavior Interventions,1.81
Research in Nursing and Health,1.81
Educational Psychology,1.81
Cold Spring Harbor Symposia on Quantitative Biology,1.81
Infant Behavior and Development,1.81
Pediatric Critical Care Medicine,1.81
Antiviral Chemistry and Chemotherapy,1.81
Letters in Applied Microbiology,1.81
JVC/Journal of Vibration and Control,1.81
Yale Law Journal,1.81
Journal of Fashion Marketing and Management,1.81
Journal of Molecular Graphics and Modelling,1.81
American Journal of Infection Control,1.81
Photodermatology Photoimmunology and Photomedicine,1.81
Measurement Science and Technology,1.81
Journal of Tribology,1.81
Journal of Computer Information Systems,1.81
Journal of Interprofessional Care,1.81
International Journal of Sediment Research,1.81
"International Conference on Intelligent User Interfaces, Proceedings IUI",1.81
Journal of Plant Biology,1.81
Education and Training,1.81
Child Abuse Review,1.81
Journal of International Entrepreneurship,1.81
Journal of Social Archaeology,1.81
Journal of the American Board of Family Medicine,1.81
Journal of hospital medicine (Online),1.81
Obesity Research and Clinical Practice,1.81
Focus on Autism and Other Developmental Disabilities,1.81
Journal of Mixed Methods Research,1.81
The Botanical Review,1.81
BioData Mining,1.81
Expert Review of Hematology,1.81
Journal of Evidence-Based Medicine,1.81
Journal of Contextual Behavioral Science,1.81
Annals of Applied Statistics,1.81
Water Resources and Economics,1.81
Journal of Adolescent and Young Adult Oncology,1.81
Composites Communications,1.81
Research in International Business and Finance,1.8
Comparative Politics,1.8
Journal of Population Economics,1.8
Family Practice,1.8
Zeitschrift fur Angewandte Mathematik und Physik,1.8
European Journal of Gastroenterology and Hepatology,1.8
Modelling and Simulation in Materials Science and Engineering,1.8
Lethaia,1.8
Molecular Biology Reports,1.8
Neoplasma,1.8
Medical and Veterinary Entomology,1.8
Engineering with Computers,1.8
Pathology and Oncology Research,1.8
FEMS Microbiology Letters,1.8
Feminist Economics,1.8
Scandinavian Journal of Forest Research,1.8
Journal of Clinical Hypertension,1.8
Data and Knowledge Engineering,1.8
Dental Clinics of North America,1.8
Children and Youth Services Review,1.8
Journal of Risk and Insurance,1.8
Health Informatics Journal,1.8
Natural Product Research,1.8
Science and Justice - Journal of the Forensic Science Society,1.8
Publications of the Astronomical Society of Australia,1.8
ATMOSPHERE,1.8
Austral Ecology,1.8
Policing and Society,1.8
Primary Care Diabetes,1.8
Journal of Otolaryngology - Head and Neck Surgery,1.8
Environmental Policy and Governance,1.8
IMF Economic Review,1.8
Geotechnique Letters,1.8
Applied Ontology,1.8
Analysis and PDE,1.8
EuPA Open Proteomics,1.8
International Journal of Rheumatology,1.8
Research in Learning Technology,1.8
Journal of Applied Research on Medicinal and Aromatic Plants,1.8
Structures,1.8
Current Research in Translational Medicine,1.8
European Journal of Orthodontics,1.79
IEEE Journal of Quantum Electronics,1.79
American Journal of Industrial Medicine,1.79
Research on Aging,1.79
Euphytica,1.79
Review of Palaeobotany and Palynology,1.79
Sport Psychologist,1.79
Current Pharmaceutical Biotechnology,1.79
Cognitive Development,1.79
Journal of Economic Entomology,1.79
Marine Mammal Science,1.79
Journal of Microencapsulation,1.79
Journal of Thoracic and Cardiovascular Surgery,1.79
Ocean Dynamics,1.79
BMC Structural Biology,1.79
Experimental and Toxicologic Pathology,1.79
International Journal of Clinical Practice,1.79
Management Decision,1.79
Diagnostic and Interventional Radiology,1.79
Information Technology and Management,1.79
International Journal on Software Tools for Technology Transfer,1.79
Journal of Veterinary Cardiology,1.79
Anesthesiology Clinics,1.79
Journal of Biological Research,1.79
Operations Management Research,1.79
Advances in Engineering Education,1.79
Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control,1.79
Local and Regional Anesthesia,1.79
International Journal of Computer Games Technology,1.79
Bulletin of the Peabody Museum of Natural History,1.79
International Journal of Dentistry,1.79
Computer Optics,1.79
Therapeutic Delivery,1.79
Clinical Medicine Insights: Arthritis and Musculoskeletal Disorders,1.79
Annals of Global Health,1.79
The Journal of frailty & aging,1.79
"Territory, Politics, Governance",1.79
Joint Bone Spine,1.78
Current Organic Chemistry,1.78
Waste Management and Research,1.78
Journal of Visual Languages and Computing,1.78
Annals of Diagnostic Pathology,1.78
Gastrointestinal Endoscopy Clinics of North America,1.78
Journal of Social and Personal Relationships,1.78
Pacific Review,1.78
Journal of Cross-Cultural Psychology,1.78
Journal of Microbiology and Biotechnology,1.78
Scandinavian Journal of Primary Health Care,1.78
Government and Opposition,1.78
Biology of Sport,1.78
Journal of Medical Entomology,1.78
Journal of Management Inquiry,1.78
Journal of Computing and Information Science in Engineering,1.78
Journal of Infection and Chemotherapy,1.78
"Aging, Neuropsychology, and Cognition",1.78
Arthropod Structure and Development,1.78
Microbiology,1.78
Journal of Knee Surgery,1.78
Scandinavian Journal of Management,1.78
Bulletin of Marine Science,1.78
Aging clinical and experimental research,1.78
Breeding Science,1.78
Swiss Medical Weekly,1.78
Journal of Crystal Growth,1.78
Addiction Research and Theory,1.78
Journal of the Air and Waste Management Association,1.78
Oceanologia,1.78
Journal of Applied Biomedicine,1.78
BMC Nursing,1.78
Future Oncology,1.78
"Mind, Brain, and Education",1.78
Biocybernetics and Biomedical Engineering,1.78
ADHD Attention Deficit and Hyperactivity Disorders,1.78
ACM SIGPLAN Notices,1.78
Agriculture and Food Security,1.78
Petroleum Geoscience,1.77
Chinese Journal of Polymer Science (English Edition),1.77
Haemophilia,1.77
Security Studies,1.77
Journal of Paleontology,1.77
Ophthalmologica,1.77
Statistical Science,1.77
Journal of Membrane Biology,1.77
Journal of the Acoustical Society of America,1.77
Silva Fennica,1.77
Journal of Reproduction and Development,1.77
Oryx,1.77
Contact Lens and Anterior Eye,1.77
"Housing, Theory and Society",1.77
"Journal of Physics B: Atomic, Molecular and Optical Physics",1.77
Journal of American College Health,1.77
Educational and Psychological Measurement,1.77
Comptes Rendus Chimie,1.77
Journal of Ocular Pharmacology and Therapeutics,1.77
Journal of Manipulative and Physiological Therapeutics,1.77
Studies in Conflict and Terrorism,1.77
Sex Education,1.77
International Heart Journal,1.77
Physica Status Solidi (A) Applications and Materials Science,1.77
Arthropod-Plant Interactions,1.77
American Journal of Rhinology and Allergy,1.77
Pharmacognosy Research,1.77
Nutrition Research and Practice,1.77
Journal of Thyroid Research,1.77
"Technology, Knowledge and Learning",1.77
BioScience Trends,1.77
Heritage Science,1.77
Dialogues in Human Geography,1.77
Abdominal Radiology,1.77
Frontiers in Public Health,1.77
International Journal of Cosmetic Science,1.76
Youth and Society,1.76
Annual Review of Gerontology and Geriatrics,1.76
Health Education Research,1.76
Journal of Homosexuality,1.76
Social Service Review,1.76
Biochemistry (Moscow),1.76
Journal of Research in Reading,1.76
Journal of Insect Conservation,1.76
Environmental and Resource Economics,1.76
Journal of Sport and Social Issues,1.76
System,1.76
Journal of Dermatological Treatment,1.76
Psychiatric Rehabilitation Journal,1.76
Veterinary Anaesthesia and Analgesia,1.76
IMA Journal of Numerical Analysis,1.76
International Journal of Cardiology,1.76
Dermatitis,1.76
Zoology,1.76
Asian Journal of Control,1.76
GSA Today,1.76
Adult Education Quarterly,1.76
"Journal of the Optical Society of America A: Optics and Image Science, and Vision",1.76
Behavioural Processes,1.76
Tree-Ring Research,1.76
Journal of European Integration,1.76
Multidisciplinary Respiratory Medicine,1.76
Criminology & Public Policy,1.76
Updates in Surgery,1.76
Journal of Personnel Psychology,1.76
Quantitative Economics,1.76
Computer Science Education,1.76
Case Studies in Mechanical Systems and Signal Processing,1.76
Financial Accountability and Management,1.76
Geo-Marine Letters,1.75
Demographic Research,1.75
SIAM Journal on Applied Dynamical Systems,1.75
World Bank Economic Review,1.75
Physica D: Nonlinear Phenomena,1.75
Cultural Anthropology,1.75
Oxford Review of Education,1.75
Journal of Applied Social Psychology,1.75
Molecular Biotechnology,1.75
Machining Science and Technology,1.75
Journal of Neurosurgical Anesthesiology,1.75
Paediatric Anaesthesia,1.75
Platelets,1.75
Current Vascular Pharmacology,1.75
Journal of Atmospheric Chemistry,1.75
"European Journal of Obstetrics, Gynecology and Reproductive Biology",1.75
"Reproduction, Fertility and Development",1.75
SIGMOD Record,1.75
Obstetrics and Gynecology Clinics of North America,1.75
Mycopathologia,1.75
Small Group Research,1.75
Boletin de la Sociedad Matematica Mexicana,1.75
Current Neurovascular Research,1.75
Distance Education,1.75
Cooperation and Conflict,1.75
Breast Care,1.75
European Journal of Social Theory,1.75
Journal of Cosmetic Dermatology,1.75
"Drug, Healthcare and Patient Safety",1.75
Integrative Zoology,1.75
Cyberpsychology,1.75
Education Finance and Policy,1.75
Clinical Medicine Insights: Blood Disorders,1.75
Sustainability of Water Quality and Ecology,1.75
Emerging Adulthood,1.75
Neurodegenerative disease management,1.75
International Journal of Proteomics,1.75
Economics of Energy and Environmental Policy,1.75
Human and Experimental Toxicology,1.74
Ageing and Society,1.74
World Archaeology,1.74
Acta Histochemica,1.74
Visual Neuroscience,1.74
Pediatric Cardiac Surgery Annual,1.74
"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",1.74
Journal of Intelligent Information Systems,1.74
Journal of Pharmacokinetics and Pharmacodynamics,1.74
RAND Journal of Economics,1.74
Plasma Physics and Controlled Fusion,1.74
Pain Management,1.74
Archives of Microbiology,1.74
Environment and Planning B: Planning and Design,1.74
Journal of Interventional Cardiac Electrophysiology,1.74
Radiation and Environmental Biophysics,1.74
Journal of the American Helicopter Society,1.74
Journal of Advertising Research,1.74
Journal of Science Education and Technology,1.74
Discourse Processes,1.74
Journal of Geriatric Physical Therapy,1.74
Journal of Physiological Anthropology,1.74
Mass Communication and Society,1.74
Journal of Cardiopulmonary Rehabilitation and Prevention,1.74
Journal of Physics A: Mathematical and Theoretical,1.74
PET Clinics,1.74
Entertainment Computing,1.74
"Science China: Physics, Mechanics and Astronomy",1.74
International Journal of General Medicine,1.74
Journal of Photonics for Energy,1.74
Competition and Change,1.74
Defence Technology,1.74
Journal of Medical Imaging,1.74
Memory,1.73
Nursing Outlook,1.73
Nursing Research,1.73
Electronic Journal of Information Technology in Construction,1.73
Journal of Computational Neuroscience,1.73
Physics and Chemistry of Minerals,1.73
Eurasip Journal on Wireless Communications and Networking,1.73
Journal of Productivity Analysis,1.73
Journal of Consumer Affairs,1.73
Journal of Stroke and Cerebrovascular Diseases,1.73
Annals of Dyslexia,1.73
Animal Genetics,1.73
American Journal of Alzheimer's Disease and other Dementias,1.73
International Journal of Radiation Biology,1.73
Surgeon,1.73
Journal of Musculoskeletal Neuronal Interactions,1.73
Journal of Research of the National Institute of Standards and Technology,1.73
Journal of Material Cycles and Waste Management,1.73
Journal of Applied Oral Science,1.73
International Journal of Automotive Technology,1.73
Advances in Theoretical and Mathematical Physics,1.73
International Multilingual Research Journal,1.73
Current Molecular Pharmacology,1.73
Earth Interactions,1.73
Iranian Journal of Basic Medical Sciences,1.73
China Communications,1.73
International Journal of Renewable Energy Research,1.73
Journal of Spatial Information Science,1.73
Surface Topography: Metrology and Properties,1.73
"Navigation, Journal of the Institute of Navigation",1.72
Journal of Early Adolescence,1.72
Complexity,1.72
"JAOCS, Journal of the American Oil Chemists' Society",1.72
Planetary and Space Science,1.72
Fractals,1.72
Journal of Mathematical Biology,1.72
Symbiosis,1.72
International Journal of Neuroscience,1.72
Equine Veterinary Journal,1.72
Quality and Reliability Engineering International,1.72
Group Decision and Negotiation,1.72
Comparative Education,1.72
Educational Policy,1.72
Journal of Molecular Microbiology and Biotechnology,1.72
Environmental Fluid Mechanics,1.72
ACM Transactions on Computational Logic,1.72
Annals of Operations Research,1.72
Marketing Letters,1.72
Chinese Journal of Chemical Engineering,1.72
Allergy and Asthma Proceedings,1.72
Annals of Human Genetics,1.72
Journal of Environmental Planning and Management,1.72
Journal of Voice,1.72
American Journal of Education,1.72
BMC Surgery,1.72
Expert Systems,1.72
